,Rejection Rate,BM Selection Threshold,Method,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,0.0,0.0,avg,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8371008342007363
1,0.0,0.25,avg,0.8716981132075472,0.7956989247311828,0.8314606741573034,0.8131868131868132,0.8371008342007363
2,0.0,0.5,avg,0.8603773584905661,0.776595744680851,0.8202247191011236,0.7978142076502732,0.8371008342007363
3,0.0,0.75,avg,0.8679245283018868,0.7872340425531915,0.8314606741573034,0.8087431693989071,0.8371008342007363
4,0.1,0.0,avg,0.891213389121339,0.8045977011494253,0.8860759493670886,0.8433734939759037,0.8371008342007363
5,0.1,0.25,avg,0.895397489539749,0.813953488372093,0.8860759493670886,0.8484848484848485,0.8371008342007363
6,0.1,0.5,avg,0.895397489539749,0.813953488372093,0.8860759493670886,0.8484848484848485,0.8371008342007363
7,0.1,0.75,avg,0.899581589958159,0.8235294117647058,0.8860759493670886,0.8536585365853658,0.8371008342007363
8,0.2,0.0,avg,0.9245283018867925,0.8571428571428571,0.9295774647887324,0.8918918918918919,0.8371008342007363
9,0.2,0.25,avg,0.9292452830188679,0.868421052631579,0.9295774647887324,0.8979591836734694,0.8371008342007363
10,0.2,0.5,avg,0.9292452830188679,0.868421052631579,0.9295774647887324,0.8979591836734694,0.8371008342007363
11,0.2,0.75,avg,0.9292452830188679,0.868421052631579,0.9295774647887324,0.8979591836734694,0.8371008342007363
12,0.3,0.0,avg,0.9354838709677419,0.873015873015873,0.9322033898305084,0.9016393442622951,0.8371008342007363
13,0.3,0.25,avg,0.9354838709677419,0.873015873015873,0.9322033898305084,0.9016393442622951,0.8371008342007363
14,0.3,0.5,avg,0.9354838709677419,0.873015873015873,0.9322033898305084,0.9016393442622951,0.8371008342007363
15,0.3,0.75,avg,0.9354838709677419,0.873015873015873,0.9322033898305084,0.9016393442622951,0.8371008342007363
16,0.4,0.0,avg,0.9559748427672956,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.8371008342007363
17,0.4,0.25,avg,0.9559748427672956,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.8371008342007363
18,0.4,0.5,avg,0.9559748427672956,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.8371008342007363
19,0.4,0.75,avg,0.9559748427672956,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.8371008342007363
20,0.5,0.0,avg,0.9473684210526315,0.8913043478260869,0.9534883720930233,0.9213483146067416,0.8371008342007363
21,0.5,0.25,avg,0.9473684210526315,0.8913043478260869,0.9534883720930233,0.9213483146067416,0.8371008342007363
22,0.5,0.5,avg,0.9473684210526315,0.8913043478260869,0.9534883720930233,0.9213483146067416,0.8371008342007363
23,0.5,0.75,avg,0.9473684210526315,0.8913043478260869,0.9534883720930233,0.9213483146067416,0.8371008342007363
24,0.6,0.0,avg,0.9433962264150944,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8371008342007363
25,0.6,0.25,avg,0.9433962264150944,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8371008342007363
26,0.6,0.5,avg,0.9433962264150944,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8371008342007363
27,0.6,0.75,avg,0.9433962264150944,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8371008342007363
28,0.7000000000000001,0.0,avg,0.925,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8371008342007363
29,0.7000000000000001,0.25,avg,0.925,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8371008342007363
30,0.7000000000000001,0.5,avg,0.925,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8371008342007363
31,0.7000000000000001,0.75,avg,0.925,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8371008342007363
32,0.8,0.0,avg,0.9433962264150944,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8371008342007363
33,0.8,0.25,avg,0.9433962264150944,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8371008342007363
34,0.8,0.5,avg,0.9433962264150944,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8371008342007363
35,0.8,0.75,avg,0.9433962264150944,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8371008342007363
36,0.9,0.0,avg,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8371008342007363
37,0.9,0.25,avg,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8371008342007363
38,0.9,0.5,avg,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8371008342007363
39,0.9,0.75,avg,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8371008342007363
40,0.0,0.0,median,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8155042196836321
41,0.0,0.25,median,0.8716981132075472,0.7956989247311828,0.8314606741573034,0.8131868131868132,0.8155042196836321
42,0.0,0.5,median,0.8603773584905661,0.776595744680851,0.8202247191011236,0.7978142076502732,0.8155042196836321
43,0.0,0.75,median,0.8679245283018868,0.7872340425531915,0.8314606741573034,0.8087431693989071,0.8155042196836321
44,0.1,0.0,median,0.891213389121339,0.8068181818181818,0.8875,0.8452380952380952,0.8155042196836321
45,0.1,0.25,median,0.895397489539749,0.8160919540229885,0.8875,0.8502994011976048,0.8155042196836321
46,0.1,0.5,median,0.899581589958159,0.8255813953488372,0.8875,0.8554216867469879,0.8155042196836321
47,0.1,0.75,median,0.9037656903765691,0.8352941176470589,0.8875,0.8606060606060606,0.8155042196836321
48,0.2,0.0,median,0.9198113207547169,0.8533333333333334,0.9142857142857143,0.8827586206896552,0.8155042196836321
49,0.2,0.25,median,0.9198113207547169,0.8533333333333334,0.9142857142857143,0.8827586206896552,0.8155042196836321
50,0.2,0.5,median,0.9198113207547169,0.8533333333333334,0.9142857142857143,0.8827586206896552,0.8155042196836321
51,0.2,0.75,median,0.9198113207547169,0.8533333333333334,0.9142857142857143,0.8827586206896552,0.8155042196836321
52,0.3,0.0,median,0.9247311827956989,0.8548387096774194,0.9137931034482759,0.8833333333333333,0.8155042196836321
53,0.3,0.25,median,0.9301075268817204,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.8155042196836321
54,0.3,0.5,median,0.9301075268817204,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.8155042196836321
55,0.3,0.75,median,0.9301075268817204,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.8155042196836321
56,0.4,0.0,median,0.9119496855345912,0.8392857142857143,0.9038461538461539,0.8703703703703703,0.8155042196836321
57,0.4,0.25,median,0.9182389937106918,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.8155042196836321
58,0.4,0.5,median,0.9182389937106918,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.8155042196836321
59,0.4,0.75,median,0.9182389937106918,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.8155042196836321
60,0.5,0.0,median,0.9022556390977443,0.8367346938775511,0.8913043478260869,0.8631578947368421,0.8155042196836321
61,0.5,0.25,median,0.9097744360902256,0.8541666666666666,0.8913043478260869,0.8723404255319149,0.8155042196836321
62,0.5,0.5,median,0.9097744360902256,0.8541666666666666,0.8913043478260869,0.8723404255319149,0.8155042196836321
63,0.5,0.75,median,0.9097744360902256,0.8541666666666666,0.8913043478260869,0.8723404255319149,0.8155042196836321
64,0.6,0.0,median,0.9056603773584906,0.875,0.875,0.875,0.8155042196836321
65,0.6,0.25,median,0.9150943396226415,0.8974358974358975,0.875,0.8860759493670886,0.8155042196836321
66,0.6,0.5,median,0.9150943396226415,0.8974358974358975,0.875,0.8860759493670886,0.8155042196836321
67,0.6,0.75,median,0.9150943396226415,0.8974358974358975,0.875,0.8860759493670886,0.8155042196836321
68,0.7000000000000001,0.0,median,0.925,0.896551724137931,0.896551724137931,0.896551724137931,0.8155042196836321
69,0.7000000000000001,0.25,median,0.925,0.896551724137931,0.896551724137931,0.896551724137931,0.8155042196836321
70,0.7000000000000001,0.5,median,0.925,0.896551724137931,0.896551724137931,0.896551724137931,0.8155042196836321
71,0.7000000000000001,0.75,median,0.925,0.896551724137931,0.896551724137931,0.896551724137931,0.8155042196836321
72,0.8,0.0,median,0.8867924528301887,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8155042196836321
73,0.8,0.25,median,0.8867924528301887,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8155042196836321
74,0.8,0.5,median,0.8867924528301887,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8155042196836321
75,0.8,0.75,median,0.8867924528301887,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8155042196836321
76,0.9,0.0,median,0.8518518518518519,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8155042196836321
77,0.9,0.25,median,0.8518518518518519,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8155042196836321
78,0.9,0.5,median,0.8518518518518519,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8155042196836321
79,0.9,0.75,median,0.8518518518518519,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8155042196836321
80,0.0,0.0,min,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.837608139478768
81,0.0,0.25,min,0.8716981132075472,0.7956989247311828,0.8314606741573034,0.8131868131868132,0.837608139478768
82,0.0,0.5,min,0.8603773584905661,0.776595744680851,0.8202247191011236,0.7978142076502732,0.837608139478768
83,0.0,0.75,min,0.8679245283018868,0.7872340425531915,0.8314606741573034,0.8087431693989071,0.837608139478768
84,0.1,0.0,min,0.891213389121339,0.7840909090909091,0.9078947368421053,0.8414634146341463,0.837608139478768
85,0.1,0.25,min,0.899581589958159,0.8023255813953488,0.9078947368421053,0.8518518518518519,0.837608139478768
86,0.1,0.5,min,0.8870292887029289,0.7816091954022989,0.8947368421052632,0.8343558282208589,0.837608139478768
87,0.1,0.75,min,0.891213389121339,0.7906976744186046,0.8947368421052632,0.8395061728395061,0.837608139478768
88,0.2,0.0,min,0.9245283018867925,0.8472222222222222,0.9242424242424242,0.8840579710144928,0.837608139478768
89,0.2,0.25,min,0.9198113207547169,0.8356164383561644,0.9242424242424242,0.8776978417266187,0.837608139478768
90,0.2,0.5,min,0.9198113207547169,0.8356164383561644,0.9242424242424242,0.8776978417266187,0.837608139478768
91,0.2,0.75,min,0.9245283018867925,0.8472222222222222,0.9242424242424242,0.8840579710144928,0.837608139478768
92,0.3,0.0,min,0.9301075268817204,0.84375,0.9473684210526315,0.8925619834710744,0.837608139478768
93,0.3,0.25,min,0.9301075268817204,0.84375,0.9473684210526315,0.8925619834710744,0.837608139478768
94,0.3,0.5,min,0.9354838709677419,0.8571428571428571,0.9473684210526315,0.9,0.837608139478768
95,0.3,0.75,min,0.9354838709677419,0.8571428571428571,0.9473684210526315,0.9,0.837608139478768
96,0.4,0.0,min,0.949685534591195,0.8867924528301887,0.9591836734693877,0.9215686274509803,0.837608139478768
97,0.4,0.25,min,0.949685534591195,0.8867924528301887,0.9591836734693877,0.9215686274509803,0.837608139478768
98,0.4,0.5,min,0.949685534591195,0.8867924528301887,0.9591836734693877,0.9215686274509803,0.837608139478768
99,0.4,0.75,min,0.949685534591195,0.8867924528301887,0.9591836734693877,0.9215686274509803,0.837608139478768
100,0.5,0.0,min,0.9548872180451128,0.9,0.9473684210526315,0.9230769230769231,0.837608139478768
101,0.5,0.25,min,0.9548872180451128,0.9,0.9473684210526315,0.9230769230769231,0.837608139478768
102,0.5,0.5,min,0.9548872180451128,0.9,0.9473684210526315,0.9230769230769231,0.837608139478768
103,0.5,0.75,min,0.9548872180451128,0.9,0.9473684210526315,0.9230769230769231,0.837608139478768
104,0.6,0.0,min,0.9528301886792453,0.9090909090909091,0.9375,0.9230769230769231,0.837608139478768
105,0.6,0.25,min,0.9528301886792453,0.9090909090909091,0.9375,0.9230769230769231,0.837608139478768
106,0.6,0.5,min,0.9528301886792453,0.9090909090909091,0.9375,0.9230769230769231,0.837608139478768
107,0.6,0.75,min,0.9528301886792453,0.9090909090909091,0.9375,0.9230769230769231,0.837608139478768
108,0.7000000000000001,0.0,min,0.95,0.8846153846153846,0.9583333333333334,0.92,0.837608139478768
109,0.7000000000000001,0.25,min,0.95,0.8846153846153846,0.9583333333333334,0.92,0.837608139478768
110,0.7000000000000001,0.5,min,0.95,0.8846153846153846,0.9583333333333334,0.92,0.837608139478768
111,0.7000000000000001,0.75,min,0.95,0.8846153846153846,0.9583333333333334,0.92,0.837608139478768
112,0.8,0.0,min,0.9245283018867925,0.85,0.9444444444444444,0.8947368421052632,0.837608139478768
113,0.8,0.25,min,0.9245283018867925,0.85,0.9444444444444444,0.8947368421052632,0.837608139478768
114,0.8,0.5,min,0.9245283018867925,0.85,0.9444444444444444,0.8947368421052632,0.837608139478768
115,0.8,0.75,min,0.9245283018867925,0.85,0.9444444444444444,0.8947368421052632,0.837608139478768
116,0.9,0.0,min,0.9259259259259259,0.875,0.875,0.875,0.837608139478768
117,0.9,0.25,min,0.9259259259259259,0.875,0.875,0.875,0.837608139478768
118,0.9,0.5,min,0.9259259259259259,0.875,0.875,0.875,0.837608139478768
119,0.9,0.75,min,0.9259259259259259,0.875,0.875,0.875,0.837608139478768
120,0.0,0.0,max,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.7944695442891913
121,0.0,0.25,max,0.8716981132075472,0.7956989247311828,0.8314606741573034,0.8131868131868132,0.7944695442891913
122,0.0,0.5,max,0.8603773584905661,0.776595744680851,0.8202247191011236,0.7978142076502732,0.7944695442891913
123,0.0,0.75,max,0.8679245283018868,0.7872340425531915,0.8314606741573034,0.8087431693989071,0.7944695442891913
124,0.1,0.0,max,0.8870292887029289,0.8068181818181818,0.8765432098765432,0.8402366863905325,0.7944695442891913
125,0.1,0.25,max,0.891213389121339,0.8313253012048193,0.8518518518518519,0.8414634146341463,0.7944695442891913
126,0.1,0.5,max,0.8828451882845189,0.8192771084337349,0.8395061728395061,0.8292682926829268,0.7944695442891913
127,0.1,0.75,max,0.8870292887029289,0.8292682926829268,0.8395061728395061,0.8343558282208589,0.7944695442891913
128,0.2,0.0,max,0.8962264150943396,0.8026315789473685,0.8970588235294118,0.8472222222222222,0.7944695442891913
129,0.2,0.25,max,0.9056603773584906,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.7944695442891913
130,0.2,0.5,max,0.9009433962264151,0.821917808219178,0.8823529411764706,0.851063829787234,0.7944695442891913
131,0.2,0.75,max,0.9056603773584906,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.7944695442891913
132,0.3,0.0,max,0.8817204301075269,0.7945205479452054,0.8923076923076924,0.8405797101449275,0.7944695442891913
133,0.3,0.25,max,0.8924731182795699,0.8260869565217391,0.8769230769230769,0.8507462686567164,0.7944695442891913
134,0.3,0.5,max,0.8870967741935484,0.8142857142857143,0.8769230769230769,0.8444444444444444,0.7944695442891913
135,0.3,0.75,max,0.8924731182795699,0.8260869565217391,0.8769230769230769,0.8507462686567164,0.7944695442891913
136,0.4,0.0,max,0.8616352201257862,0.7619047619047619,0.8727272727272727,0.8135593220338984,0.7944695442891913
137,0.4,0.25,max,0.8742138364779874,0.7966101694915254,0.8545454545454545,0.8245614035087719,0.7944695442891913
138,0.4,0.5,max,0.8679245283018868,0.7833333333333333,0.8545454545454545,0.8173913043478261,0.7944695442891913
139,0.4,0.75,max,0.8742138364779874,0.7966101694915254,0.8545454545454545,0.8245614035087719,0.7944695442891913
140,0.5,0.0,max,0.8872180451127819,0.7755102040816326,0.9047619047619048,0.8351648351648352,0.7944695442891913
141,0.5,0.25,max,0.9022556390977443,0.8222222222222222,0.8809523809523809,0.8505747126436781,0.7944695442891913
142,0.5,0.5,max,0.8947368421052632,0.8043478260869565,0.8809523809523809,0.8409090909090909,0.7944695442891913
143,0.5,0.75,max,0.9022556390977443,0.8222222222222222,0.8809523809523809,0.8505747126436781,0.7944695442891913
144,0.6,0.0,max,0.8679245283018868,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.7944695442891913
145,0.6,0.25,max,0.8867924528301887,0.8157894736842105,0.8611111111111112,0.8378378378378378,0.7944695442891913
146,0.6,0.5,max,0.8773584905660378,0.7948717948717948,0.8611111111111112,0.8266666666666667,0.7944695442891913
147,0.6,0.75,max,0.8867924528301887,0.8157894736842105,0.8611111111111112,0.8378378378378378,0.7944695442891913
148,0.7000000000000001,0.0,max,0.8875,0.7941176470588235,0.9310344827586207,0.8571428571428571,0.7944695442891913
149,0.7000000000000001,0.25,max,0.8875,0.8125,0.896551724137931,0.8524590163934426,0.7944695442891913
150,0.7000000000000001,0.5,max,0.875,0.7878787878787878,0.896551724137931,0.8387096774193549,0.7944695442891913
151,0.7000000000000001,0.75,max,0.8875,0.8125,0.896551724137931,0.8524590163934426,0.7944695442891913
152,0.8,0.0,max,0.8679245283018868,0.8,0.9090909090909091,0.851063829787234,0.7944695442891913
153,0.8,0.25,max,0.8490566037735849,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.7944695442891913
154,0.8,0.5,max,0.8490566037735849,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.7944695442891913
155,0.8,0.75,max,0.8679245283018868,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.7944695442891913
156,0.9,0.0,max,0.8888888888888888,0.9166666666666666,0.8461538461538461,0.88,0.7944695442891913
157,0.9,0.25,max,0.8888888888888888,0.9166666666666666,0.8461538461538461,0.88,0.7944695442891913
158,0.9,0.5,max,0.8888888888888888,0.9166666666666666,0.8461538461538461,0.88,0.7944695442891913
159,0.9,0.75,max,0.8888888888888888,0.9166666666666666,0.8461538461538461,0.88,0.7944695442891913
